difficulty_bucket,query_id,expansion_idx,state_x,state_y,state_theta,goal_x,goal_y,goal_theta,nearest_obstacle_m,oracle_a_failure_reason,oracle_b_failure_reason,candidate_raw_count,candidate_rs_reachable_count,oracle_b_attempted_candidate_count,oracle_b_selected_candidate_source,oracle_b_total_path_length_m,oracle_b_min_clearance_m,oracle_b_direction_switches,source_head
Extreme,extreme_s00_q0006,352,24.025675024473767,11.402967275451207,-2.630937042155919,9.3,11.100000000000001,-3.0694290246301357,1.2999999523162842,timeout,,397,38,1,goal_annulus,16.36377672990318,0.05760393126979124,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,360,24.07410120060059,11.323313066690229,-2.607921007104353,9.3,11.100000000000001,-3.0694290246301357,1.2999999523162842,timeout,,396,37,1,goal_annulus,16.406827297897554,0.07260567514037408,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,368,23.538670753357632,11.058826050164278,-2.9079210071043526,9.3,11.100000000000001,-3.0694290246301357,0.8944271802902222,timeout,,395,37,1,goal_annulus,15.662267901421329,0.0639605518353592,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,376,23.970722739544488,11.535977170165102,-3.0464129895785694,9.3,11.100000000000001,-3.0694290246301357,1.2000000476837158,timeout,,345,38,1,goal_annulus,16.474264649547806,0.07377954445723589,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,384,24.44725704355363,12.150202378522408,2.9137562825494507,9.3,11.100000000000001,-3.0694290246301357,0.5385164618492126,timeout,,345,37,3,goal_annulus,16.504798184289214,0.06364600313921892,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,392,24.441532904939013,12.105681237599192,-3.0694290246301357,9.3,11.100000000000001,-3.0694290246301357,0.6324555277824402,timeout,,345,37,3,goal_annulus,16.504923168665144,0.06977797050775159,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,400,23.824716368704586,11.210795188126777,-2.469429024630136,9.3,11.100000000000001,-3.0694290246301357,1.140175461769104,timeout,,395,37,5,goal_annulus,17.14896684518167,0.061549396827262015,3.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,408,24.255060613944476,11.594654837632374,-2.630937042155919,9.3,11.100000000000001,-3.0694290246301357,1.1045360565185547,timeout,,345,37,1,goal_annulus,16.66577183601347,0.07672211369782822,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,416,24.004306150032654,11.43040368681111,-2.4924450596817023,9.3,11.100000000000001,-3.0694290246301357,1.2999999523162842,timeout,,397,38,1,goal_annulus,16.32135758304897,0.05981652741644411,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,424,24.30653569619437,11.521102768216869,-2.630937042155919,9.3,11.100000000000001,-3.0694290246301357,1.2041594982147217,timeout,,394,37,1,goal_annulus,16.61349330900823,0.05869975334243832,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0008,40,8.055127951753038,10.668773021418595,1.1724003809840173,3.0,19.1,2.0724003809840172,0.7810249924659729,timeout,,344,99,1,goal_annulus,10.75510284829991,0.08874369181676789,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
